Room Type,Guests,Price,Rating,Check-in Date,Report Date,HWV Property,Competitor
Queen Room - Non-Smoking,2,90,8.5,2025-02-08,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,110,8.5,2025-02-08,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,115,8.5,2025-02-08,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,120,8.5,2025-02-08,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-09,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-09,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-09,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-09,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-10,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-10,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-10,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-10,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-11,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-11,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-11,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-11,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-12,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-12,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-12,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-12,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-13,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-13,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-13,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-13,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,90,8.5,2025-02-14,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,110,8.5,2025-02-14,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,115,8.5,2025-02-14,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,120,8.5,2025-02-14,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,95,8.5,2025-02-15,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,115,8.5,2025-02-15,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,120,8.5,2025-02-15,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,125,8.5,2025-02-15,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-16,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-16,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-16,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-16,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-17,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-17,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-17,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-17,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-18,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,2,105,8.5,2025-02-18,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,3,110,8.5,2025-02-18,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room with Two Queen Beds - Non-Smoking,4,115,8.5,2025-02-18,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
Queen Room - Non-Smoking,2,85,8.5,2025-02-19,01-07-2025,Avila Beach,"Studio 6 San Luis Obispo, CA South"
