Room Type,Guests,Price,Rating,Check-in Date,Report Date,HWV Property,Competitor
Junior Suite,2,215,7.6,2025-01-15,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-15,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,155,7.6,2025-01-15,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-16,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-16,01-05-2025,Jackson Property,The Jackson SouthTown
,2,162,7.6,2025-01-16,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,211,7.6,2025-01-16,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-16,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,151,7.6,2025-01-16,01-05-2025,Jackson Property,The Jackson SouthTown
,2,162,7.6,2025-01-17,01-05-2025,Jackson Property,The Jackson SouthTown
,2,162,7.6,2025-01-17,01-05-2025,Jackson Property,The Jackson SouthTown
,2,182,7.6,2025-01-17,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,222,7.6,2025-01-17,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-17,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,162,7.6,2025-01-17,01-05-2025,Jackson Property,The Jackson SouthTown
,2,186,7.6,2025-01-18,01-05-2025,Jackson Property,The Jackson SouthTown
,2,166,7.6,2025-01-18,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,226,7.6,2025-01-18,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-18,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,166,7.6,2025-01-18,01-05-2025,Jackson Property,The Jackson SouthTown
,2,173,7.6,2025-01-19,01-05-2025,Jackson Property,The Jackson SouthTown
,2,153,7.6,2025-01-19,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,213,7.6,2025-01-19,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-19,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,153,7.6,2025-01-19,01-05-2025,Jackson Property,The Jackson SouthTown
,2,171,7.6,2025-01-20,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-20,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-20,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,211,7.6,2025-01-20,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-20,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,151,7.6,2025-01-20,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-21,01-05-2025,Jackson Property,The Jackson SouthTown
,2,151,7.6,2025-01-21,01-05-2025,Jackson Property,The Jackson SouthTown
,2,171,7.6,2025-01-21,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,211,7.6,2025-01-21,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-21,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,151,7.6,2025-01-21,01-05-2025,Jackson Property,The Jackson SouthTown
,2,150,7.6,2025-01-22,01-05-2025,Jackson Property,The Jackson SouthTown
,2,150,7.6,2025-01-22,01-05-2025,Jackson Property,The Jackson SouthTown
,2,170,7.6,2025-01-22,01-05-2025,Jackson Property,The Jackson SouthTown
Junior Suite,2,210,7.6,2025-01-22,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",3,133,7.6,2025-01-22,01-05-2025,Jackson Property,The Jackson SouthTown
"Full Bunk Bed Studio with Kitchenette, Non-Smoking",4,150,7.6,2025-01-22,01-05-2025,Jackson Property,The Jackson SouthTown
,2,156,7.6,2025-01-23,01-05-2025,Jackson Property,The Jackson SouthTown
