Property,Competitor,Address,Link
Rowe,Victory Of Leonard Apartments,"900 leonard St NW GrandRapids,MI 49504",https://www.apartments.com/victory-on-leonard-grand-rapids-mi/9el2bz6/?gad_source=1&gclid=EAIaIQobChMIwq_ymOCxiQMVs1BHAR2XNRYdEAAYASAAEgKfQfD_BwE&gclsrc=aw.ds
Rowe,Arrive Streeterville,"333 E Ontario St, Chicago, IL 60611",https://www.apartments.com/arrive-streeterville-chicago-il/90fhlb7/?gad_source=1&gclid=EAIaIQobChMI7drRm-CxiQMV0EtHAR3OGDJHEAAYASAAEgJRVvD_BwE&gclsrc=aw.ds
Rowe,Arena Place Apartments,"55 SW Ottawa Ave Grand Rapids,MI 49503",https://www.apartments.com/arena-place-apartments-grand-rapids-mi/7vt1h6w/
Mason,Stonebrook Townhomes,"1880 Stonebrook Dr NE Grand Rapids,MI 49505",https://www.apartments.com/stonebrook-townhomes-i-ii-grand-rapids-mi/e18l80p/
Mason,Rolling Pines Apartments,"4650 Ramswood Dr NE Grand Rapids,MI 49525",https://www.apartments.com/rolling-pines-grand-rapids-mi/jdyzj25/
Mason,Leonard Pines Apartments,"1319 Leonard St NE Grand rapids,MI 49505",https://www.apartments.com/leonard-pines-grand-rapids-mi/zcr4n9w/
Zen Chaska,Chaska Place,"325 Engler Blvd, Chaska, MN 55318",https://www.apartments.com/chaska-place-apartments-chaska-mn/s725jz6/
Zen Chaska,Fenview Flats,"1600 Clover Ridge, Chaska, MN 55318",https://www.apartments.com/fenview-flats-now-open-chaska-mn/87q0zt3/
Zen Chaska,Sun Lake Woods,"1045 Yellow Brick Rd, Chaska, MN 55318",https://www.apartments.com/sun-lake-sun-lake-woods-chaska-mn/49b000h/
Solhaus Tower,The Arrow,"117 27th Ave SE, Minneapolis, MN 55414",https://www.apartments.com/the-arrow-apartments-student-housing-minneapolis-mn/tzev1j9/
Solhaus Apartments,The Quad,"2508 Delaware St SE, Minneapolis, MN 55414",https://www.apartments.com/the-quad-on-delaware-minneapolis-mn/q5w315x/
Solhaus Apartments,WaHu,"1016 Washington Ave SE, Minneapolis, MN 55414",https://www.apartments.com/1016-washington-ave-se-minneapolis-mn/rl972z3/
Solhaus Apartments,The Link,"2929 University Ave SE, Minneapolis, MN 55414",https://www.apartments.com/the-link-minneapolis-tower-minneapolis-mn/19jdjf5/
Renew Neill Lake,Granite Place Apartments,"11011 Anderson Lakes Pkwy, Eden Prairie, MN 55344",https://www.apartments.com/granite-place-1011-11013-eden-prairie-mn/h9lm1g0/
Renew Neill Lake,Fountain Place,"8564 Magnolia Trail, Eden Prairie, MN 55344",https://www.apartments.com/fountain-place-eden-prairie-mn/xpcf7gq/
Renew Neill Lake,Lake Place,"11445 Anderson Lakes Pkwy, Eden Prairie, MN 55344",https://www.apartments.com/lake-place-luxury-apartments-townhomes-eden-prairie-mn/bk7n3e8/
Renew Neill Lake,Arrive Eden Prairie,"13000 Garden Ln, Eden Prairie, MN 55344",https://www.apartments.com/arrive-eden-prairie-eden-prairie-mn/c8l55ye/
Renew Neill Lake,Reserve Eden Prairie,"13905 Chestnut Dr, Eden Prairie, MN 55344",https://www.apartments.com/reserve-eden-prairie-eden-prairie-mn/l3tm3we/
Renew Neill Lake,Sterling Ponds,"16315 Wagner Way, Eden Prairie, MN 55344",https://www.apartments.com/sterling-ponds-apartments-eden-prairie-mn/3lh8j2g/
Atwood Eden Prairie,Fountain Place,"8564 Magnolia Trail, Eden Prairie, MN 55344",https://www.apartments.com/fountain-place-eden-prairie-mn/xpcf7gq/
Atwood Eden Prairie,Sterling Ponds,"16315 Wagner Way, Eden Prairie, MN 55344",https://www.apartments.com/sterling-ponds-apartments-eden-prairie-mn/3lh8j2g/
Atwood Eden Prairie,Park City West,"6426 City W Pkwy, Eden Prairie, MN 55344",https://www.apartments.com/park-at-city-west-apartments-eden-prairie-mn/9rsj5n7/
Atwood Eden Prairie,Eden Glen,"13670 Valley View Rd, Eden Prairie, MN 55344",https://www.apartments.com/eden-glen-eden-prairie-mn/yq5rj5t/
Atwood Eden Prairie,Reserve Eden Prairie,"13905 Chestnut Dr, Eden Prairie, MN 55344",https://www.apartments.com/reserve-eden-prairie-eden-prairie-mn/l3tm3we/
The Avalon,Woodchase,"1100 Woodchase Ln, Chesterfield, MO 63017",https://www.apartments.com/woodchase-apartments-chesterfield-mo/vty01qg/
The Avalon,Vicio on the Lake,"1003 Mariners Point Dr, Creve Coeur, MO 63141",https://www.apartments.com/vicino-on-the-lake-saint-louis-mo/vkzm2md/
The Avalon,Schoettler Village ,"15480 Elk Ridge Ln, Chesterfield, MO 63017",https://www.apartments.com/schoettler-village-apartments-chesterfield-mo/2st2ek9/
ReNew Chesterfield,Village Green ,"14441 Village Green Parkway, Chesterfield, MO 63017",https://www.apartments.com/village-green-chesterfield-mo/dkms45h/
ReNew Chesterfield,Schoettler Village ,"15480 Elk Ridge Ln, Chesterfield, MO 63017",https://www.apartments.com/schoettler-village-apartments-chesterfield-mo/2st2ek9/
ReNew Chesterfield,Willowbend Apartments ,"14343 Willow Bend Park, Town & Country, MO 63017",https://www.apartments.com/willowbend-town-and-country-mo/vzv2pdf/
ReNew Chesterfield,Baxter Crossings ,"975 Westmeade Drive, Chesterfield, MO 63005",https://www.apartments.com/baxter-crossings-apartments-chesterfield-mo/61jpgvv/
ReNew Chesterfield,Woods Mill Village ,"753 Clubhouse Drive, Ballwin, MO 63011",https://www.apartments.com/woodsmill-village-apartment-homes-ballwin-mo/df1s52j/
ReNew Cross Creek,South Summit Apartments,"4251 Summit Knoll Drive, St Louis, MO 63129",https://www.apartments.com/south-summit-apartments-saint-louis-mo/rfd9n93/
ReNew Cross Creek,Patterson Place Apartments,"3219 Patterson Place Drive, St Louis, MO 63129",https://www.apartments.com/patterson-place-apartments-saint-louis-mo/ezmdgen/
ReNew Cross Creek,Hunter's Ridge Apartments,"5625 Hunters Valley Ct, Oakville, MO 63129",https://www.apartments.com/hunters-ridge-stl-st-louis-mo/z6v8egy/
ReNew Cross Creek,Southmoor Apartments,"5182 Golf Ridge Ln, St Louis, MO 63128",https://www.apartments.com/southmoor-saint-louis-mo/qnn9bpx/
The Magnolia,Woodchase,"1100 Woodchase Ln, Chesterfield, MO 63017",https://www.apartments.com/woodchase-apartments-chesterfield-mo/vty01qg/
The Magnolia,Vicio on the Lake,"1003 Mariners Point Dr, Creve Coeur, MO 63141",https://www.apartments.com/vicino-on-the-lake-saint-louis-mo/vkzm2md/
The Magnolia,Schoettler Village ,"15480 Elk Ridge Ln, Chesterfield, MO 63017",https://www.apartments.com/schoettler-village-apartments-chesterfield-mo/2st2ek9/
Rocket Transfer Lofts,Harbach Lofts,"300 SW 5th Steet, Des Moines, IA 50309",https://www.apartments.com/harbach-lofts-des-moines-ia/ez80t7n/?gad_source=1&gclid=EAIaIQobChMIxd3y1OCxiQMVsUxHAR3sfjr4EAAYASAAEgI3bvD_BwE&gclsrc=aw.ds
Rocket Transfer Lofts,Clemens Building,"200 10th Street, Des Moines, IA 50309",https://www.apartments.com/clemens-building-des-moines-ia/69kw7qv/
Rocket Transfer Lofts,Station 121,"121 12th Street, Des Moines, IA 50309",https://www.apartments.com/station-121-des-moines-ia/dw1d9ql/
Rocket Transfer Lofts,14Forty,"1440 Locust Street, Des Moines, IA 50309",https://www.apartments.com/14forty-des-moines-ia/yfec43s/
Rocket Transfer Lofts,Randolph,"202 4th Street, Des Moines, IA 50309",https://www.apartments.com/randolph-apartments-des-moines-ia/46zp3mj/
ReNew Wichita ,River Vista,"150 N McLean Blvd, Wichita, KS 67203",https://www.apartments.com/river-vista-wichita-ks/82tmre1/
ReNew Wichita ,The National at Wichita ,"150 N Main, Wichita, KS 67202",https://www.apartments.com/the-national-wichita-ks/7dk89cy/
ReNew Wichita ,Flats 324,"324 N Emporia Ave, Wichita, KS 67202",https://www.apartments.com/the-flats-324-wichita-ks/k0y5778/
ReNew Wichita ,Colorado Derby Lofts,"201 N Water St, Wichita, KS 67202",https://www.apartments.com/colorado-derby-lofts-wichita-ks/dmwn20j/
ReNew Wichita ,225 Sycamore,"225 N Sycamore St, Wichita, KS 67203",https://www.apartments.com/225-sycamore-wichita-ks/3c96fxg/
Arrive Longmont ,Notch 66,"2650 Erfert St, Longmont, CO 80504",https://www.apartments.com/notch66-longmont-co/17zllm5/
Arrive Longmont ,Lofts at Highlands,"1685 Cowles Ave, Longmont, CO 80504",https://www.apartments.com/the-lofts-at-highlands-longmont-co/s61ezx6/
Arrive Longmont ,Lupine Longmont,"1901 Hover St, Longmont, CO 80504",https://www.apartments.com/lupine-longmont-longmont-co/gsg03sx/
Arrive Longmont ,Farm Haus,"1455 E 3rd Ave, Longmont, CO 80501",https://www.apartments.com/farm-haus-longmont-co/tnylh5c/
Arrive Longmont ,Watermark at Harvest Junction,"766 South Martin St, Longmont, CO 80501",https://www.apartments.com/watermark-at-harvest-junction-luxury-apart-longmont-co/6g2byzt/
Twelve501 Apartments ,The Woods of Burnsville ,"14701 Portland Ave S, Burnsville, MN 55337",https://www.apartments.com/the-woods-of-burnsville-apartments-burnsville-mn/dmqf5cl/
Twelve501 Apartments ,Parkwood Pointe ,"12312 Parkwood Dr, Burnsville, MN 55337",https://www.apartments.com/parkwood-pointe-apartments-burnsville-mn/rq4tbq3/
Twelve501 Apartments ,Dakota Station ,"124 E Highway 13E, Burnsville, MN 55337",https://www.apartments.com/dakota-station-burnsville-mn/blk6d2c/
Twelve501 Apartments ,River South Apartments ,"13000 Harriet Ave S, Burnsville, MN 55337",https://www.apartments.com/glen-at-burnsville-burnsville-mn/0k97fs1/
